Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
DC1,100n,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,55.88,-85.3122,270,bottom
DC2,100n,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,79.756,-85.3122,270,bottom
DC3,100n,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,98.806,-85.3122,270,bottom
DC4,100n,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,117.856,-85.3122,270,bottom
DC5,100n,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,136.906,-85.1852,270,bottom
DC6,100n,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,160.655,-85.4392,270,bottom
DC7,100n,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,179.705,-85.3122,270,bottom
DC8,100n,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,198.755,-85.3122,270,bottom
DC9,100n,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,217.805,-85.3122,270,bottom
DC10,100n,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,241.808,-85.3122,270,bottom
DC11,100n,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,260.858,-85.3122,270,bottom
DC12,100n,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,279.781,-85.3122,270,bottom
DC13,100n,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,298.831,-85.3122,270,bottom
DC14,100n,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,322.58,-85.3122,270,bottom
DC15,100n,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,55.88,-109.188,90,bottom
DC16,100n,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,74.93,-109.188,90,bottom
DC17,100n,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,93.98,-109.188,90,bottom
DC18,100n,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,113.03,-109.188,90,bottom
DC19,100n,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,132.08,-109.188,90,bottom
DC20,100n,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,151.13,-109.061,90,bottom
DC21,100n,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,170.18,-109.061,90,bottom
DC22,100n,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,189.23,-109.061,90,bottom
DC23,100n,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,208.28,-109.061,90,bottom
DC24,100n,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,227.33,-109.061,90,bottom
DC25,100n,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,246.38,-109.061,90,bottom
DC26,100n,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,265.43,-109.061,90,bottom
DC27,100n,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,284.48,-109.061,90,bottom
DC28,100n,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,311.785,-112.236,180,bottom
DC29,100n,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,355.854,-109.188,90,bottom
DC30,100n,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,32.131,-109.188,90,bottom
